symbol	date	error_type	error_code
ACCYY	2020-01-31	no data	
ACDVF	2020-01-31	no data	
ACEEU	2020-01-31	no data	
ACEHF	2020-01-31	no data	
ACES	2020-01-31	no data	
ACEYY	2020-01-31	low data size	
ACFFF	2020-01-31	no data	
ACGBF	2020-01-31	no data	
ACGBY	2020-01-31	no data	
ACGPF	2020-01-31	no data	
ACGYF	2020-01-31	low data size	
ACHFF	2020-01-31	low data size	
ACIO	2020-01-31	response error	503
ACIO.IV.X	2020-01-31	response error	503
ACJJF	2020-01-31	low data size	
ACKAF	2020-01-31	low data size	
ACKAY	2020-01-31	low data size	
ACKDF	2020-01-31	no data	
ACLLF	2020-01-31	low data size	
ACLTF	2020-01-31	low data size	
ACLZ	2020-01-31	low data size	
ACMB	2020-01-31	no data	
ACMDY	2020-01-31	no data	
ACMLF	2020-01-31	low data size	
ACMT	2020-01-31	low data size	
ACNDF	2020-01-31	low data size	
ACNE	2020-01-31	low data size	
ACNFF	2020-01-31	no data	
ACNI	2020-01-31	low data size	
ACNNF	2020-01-31	no data	
ACNV	2020-01-31	no data	
ACOPF	2020-01-31	no data	
ACOPY	2020-01-31	response error	503
ACOSF	2020-01-31	low data size	
ACP	2020-01-31	no data	
ACPPQ	2020-01-31	low data size	
ACPQF	2020-01-31	no data	
ACRB	2020-01-31	no data	
ACRE	2020-01-31	no data	
ACRGF	2020-01-31	low data size	
ACRL	2020-01-31	no data	
ACRT	2020-01-31	no data	
ACSAF	2020-01-31	low data size	
ACSAY	2020-01-31	no data	
ACSI	2020-01-31	no data	
ACSI.IV.X	2020-01-31	no data	
ACSSF	2020-01-31	no data	
ACSYF	2020-01-31	low data size	
ACTL	2020-01-31	no data	
ACTPF	2020-01-31	response error	503
ACTRF	2020-01-31	low data size	
ACUIF	2020-01-31	no data	
ACV	2020-01-31	no data	
ACWI.SO.X	2020-01-31	response error	500
ACWRF	2020-01-31	low data size	
ACWV	2020-01-31	no data	
ACWX.SO.X	2020-01-31	response error	500
AD01.X	2020-01-31	no data	
AD02.X	2020-01-31	no data	
AD03.X	2020-01-31	no data	
AD04.X	2020-01-31	no data	
AD05.X	2020-01-31	no data	
AD07.X	2020-01-31	no data	
ADAC	2020-01-31	low data size	
ADAD	2020-01-31	no data	
ADBCF	2020-01-31	low data size	
ADBKF	2020-01-31	response error	503
ADBRF	2020-01-31	response error	503
ADCOF	2020-01-31	response error	503
ADCT	2020-01-31	response error	503
ADDC	2020-01-31	low data size	
ADDLF	2020-01-31	no data	
ADDXF	2020-01-31	low data size	
ADEC	2020-01-31	low data size	
ADERY	2020-01-31	no data	
ADEXF	2020-01-31	low data size	
ADFJF	2020-01-31	low data size	
ADFS	2020-01-31	no data	
ADFT	2020-01-31	no data	
ADGL	2020-01-31	no data	
ADGRF	2020-01-31	no data	
ADGS	2020-01-31	low data size	
ADHG	2020-01-31	no data	
ADHMY	2020-01-31	no data	
ADIMF	2020-01-31	response error	503
ADIWW	2020-01-31	response error	503
ADKCF	2020-01-31	response error	500
ADKIL	2020-01-31	no data	
ADKT	2020-01-31	low data size	
ADLDY	2020-01-31	no data	
ADMG	2020-01-31	low data size	
ADMLF	2020-01-31	response error	503
ADNOF	2020-01-31	response error	503
ADNT	2020-01-31	no data	
ADOCF	2020-01-31	no data	
ADOCY	2020-01-31	no data	
ADOM	2020-01-31	no data	
ADOOY	2020-01-31	no data	
ADPAA	2020-01-31	no data	
ADPAJ	2020-01-31	no data	
ADPAK	2020-01-31	low data size	
ADPBK	2020-01-31	no data	
ADPPF	2020-01-31	no data	
ADPXY	2020-01-31	no data	
ADRAD.X	2020-01-31	response error	500
ADRAM.X	2020-01-31	response error	500
ADRAS.X	2020-01-31	response error	500
ADRAT.X	2020-01-31	response error	500
ADRDD.X	2020-01-31	response error	500
ADRDM.X	2020-01-31	response error	500
ADRDS.X	2020-01-31	response error	500
ADRDT.X	2020-01-31	response error	500
ADRED.X	2020-01-31	response error	500
ADREM.X	2020-01-31	response error	500
ADRES.X	2020-01-31	response error	500
ADRET.X	2020-01-31	response error	500
ADRNY	2020-01-31	no data	
ADRUD.X	2020-01-31	response error	500
ADRUM.X	2020-01-31	response error	500
ADRUS.X	2020-01-31	none data	
ADRUT.X	2020-01-31	response error	500
ADRZF	2020-01-31	low data size	
ADRZY	2020-01-31	no data	
ADSW	2020-01-31	no data	
ADT	2020-01-31	no data	
ADTFF	2020-01-31	low data size	
ADTM	2020-01-31	no data	
ADTTF	2020-01-31	low data size	
ADVZF	2020-01-31	no data	
ADWPF	2020-01-31	low data size	
ADXDF	2020-01-31	low data size	
ADXRF	2020-01-31	low data size	
ADYEY	2020-01-31	response error	503
ADYX	2020-01-31	response error	503
ADYYF	2020-01-31	no data	
ADZCF	2020-01-31	no data	
ADZZF	2020-01-31	no data	
AE01.X	2020-01-31	no data	
AEBLF	2020-01-31	response error	503
AEBZY	2020-01-31	low data size	
AEDAUD.COMP	2020-01-31	low data size	
AEDAUD.EUAM	2020-01-31	low data size	
AEDBHD.COMP	2020-01-31	no data	
AEDBHD.EUAM	2020-01-31	no data	
AEDC	2020-01-31	no data	
AEDCAD.COMP	2020-01-31	low data size	
